emp_no,first_name,last_name,dept_name,title,from_date,to_date,salary
401000,Barry,Reeker,Production,Senior Engineer,2002-05-16,9999-01-01,70084
401410,Hitomi,Domenig,Research,Senior Staff,2002-05-16,9999-01-01,40000
459031,Kazuhiro,Raoux,Sales,Senior Staff,2002-05-16,9999-01-01,55137
464504,Weiwu,Shrader,Marketing,Senior Staff,2002-05-16,9999-01-01,60909
266049,Odysseas,Delaune,Sales,Senior Staff,2002-05-15,9999-01-01,67285
283496,Kenroku,Flasterstein,Sales,Senior Staff,2002-05-15,9999-01-01,69688
486372,Hsiangchu,Renear,Marketing,Senior Staff,2002-05-14,9999-01-01,63537
31956,Ziyad,Gecsei,Marketing,Senior Staff,2002-05-13,9999-01-01,59475
274554,Sakthirel,Rattan,Development,Senior Engineer,2002-05-13,9999-01-01,56199
431480,Zhigen,Christ,Sales,Senior Staff,2002-05-13,9999-01-01,63778
467357,Suebskul,Lichtman,Development,Senior Engineer,2002-05-13,9999-01-01,48994
271603,Szabolcs,Carrere,Human Resources,Senior Staff,2002-05-12,9999-01-01,40000
292776,Marie,Zeidenstein,Research,Senior Staff,2002-05-12,9999-01-01,42843
36874,Genki,Aloia,Sales,Senior Staff,2002-05-11,9999-01-01,62935
65858,Martins,Awdeh,Development,Senior Engineer,2002-05-11,9999-01-01,40189
108053,Abdelghani,Nilsson,Sales,Senior Staff,2002-05-11,9999-01-01,76316
35046,Sachem,Luders,Sales,Senior Staff,2002-05-10,9999-01-01,62184
471529,Munir,Aloia,Marketing,Senior Staff,2002-05-10,9999-01-01,76906
474895,Michaela,Hertweck,Research,Senior Staff,2002-05-10,9999-01-01,46350
475221,Yuqun,Rassart,Production,Senior Engineer,2002-05-10,9999-01-01,65150
476933,Mayuri,Kobara,Marketing,Senior Staff,2002-05-10,9999-01-01,40000
23369,Khalil,Zykh,Human Resources,Senior Staff,2002-05-09,9999-01-01,61057
202418,Xumin,Vuskovic,Sales,Senior Staff,2002-05-09,9999-01-01,55459
204131,Kazuhira,Luit,Research,Senior Staff,2002-05-09,9999-01-01,40000
264126,Toshiki,Thimonier,Production,Engineer,2002-05-09,9999-01-01,71356
99161,Ramya,Heyers,Quality Management,Senior Engineer,2002-05-08,9999-01-01,51933
417510,Yonghong,Ernst,Sales,Senior Staff,2002-05-08,9999-01-01,57967
422685,Reinhard,Oxman,Production,Senior Engineer,2002-05-08,9999-01-01,71169
426864,Dines,Rissanen,Quality Management,Senior Engineer,2002-05-08,9999-01-01,58175
66425,Mats,Eppinger,Development,Senior Engineer,2002-05-07,9999-01-01,57825
223927,Bernice,Furudate,Production,Senior Engineer,2002-05-07,9999-01-01,40000
271272,Willard,Matheson,Quality Management,Senior Engineer,2002-05-07,9999-01-01,40000
287152,Raimond,Comte,Human Resources,Senior Staff,2002-05-07,9999-01-01,40000
419470,Larisa,Antonakopoulos,Customer Service,Senior Staff,2002-05-07,9999-01-01,40000
481872,Moty,Usdin,Production,Senior Engineer,2002-05-07,9999-01-01,40000
426274,Valdiodio,Pillow,Customer Service,Senior Engineer,2002-05-06,9999-01-01,59911
444641,Unal,Zallocco,Development,Senior Engineer,2002-05-06,9999-01-01,58458
498670,Aram,Menyhert,Sales,Senior Staff,2002-05-06,9999-01-01,69027
16000,Marek,Demos,Production,Senior Engineer,2002-05-05,9999-01-01,40000
107245,Horward,Docker,Finance,Senior Staff,2002-05-05,9999-01-01,68492
228655,Jiong,Blokdijk,Sales,Senior Staff,2002-05-05,9999-01-01,71596
422614,Anneke,Wuwongse,Quality Management,Senior Engineer,2002-05-05,9999-01-01,40000
18933,Barun,Panienski,Development,Senior Engineer,2002-05-04,9999-01-01,47862
99981,Rimon,Grandbois,Production,Senior Engineer,2002-05-03,9999-01-01,48230
272945,Tran,Mayerwieser,Production,Senior Engineer,2002-05-03,9999-01-01,40000
415404,Zhongwei,Gonthier,Development,Senior Engineer,2002-05-03,9999-01-01,40000
45828,Panayotis,Litzkow,Development,Senior Engineer,2002-05-02,9999-01-01,65770
70530,Qunsheng,Stille,Quality Management,Senior Engineer,2002-05-02,9999-01-01,40000
297486,Qingxiang,Ducloy,Human Resources,Senior Staff,2002-05-02,9999-01-01,40000
411544,Byong,Legleitner,Customer Service,Senior Staff,2002-05-02,9999-01-01,71666
442862,Munehiro,Dayang,Sales,Senior Staff,2002-05-02,9999-01-01,43013
221356,Pradeep,Hagimont,Development,Senior Engineer,2002-05-01,9999-01-01,43732
254292,Pranas,Eppinger,Sales,Senior Staff,2002-05-01,9999-01-01,82442
293946,Nadjib,Merro,Sales,Senior Staff,2002-05-01,9999-01-01,45167
216965,Badri,Birke,Sales,Senior Staff,2002-04-30,9999-01-01,54761
217451,Sanjoy,Giarratana,Marketing,Senior Staff,2002-04-30,9999-01-01,57706
271344,Eckart,Rodiger,Finance,Senior Staff,2002-04-30,9999-01-01,40000
284809,Tru,Danner,Development,Senior Engineer,2002-04-30,9999-01-01,76478
413671,Aral,Moehrke,Sales,Senior Staff,2002-04-30,9999-01-01,78073
206416,Ronnie,Kopetz,Marketing,Senior Staff,2002-04-29,9999-01-01,59918
232416,Tokuyasu,Binkley,Quality Management,Senior Engineer,2002-04-29,9999-01-01,59754
238847,Barton,Buchter,Production,Senior Engineer,2002-04-29,9999-01-01,40000
254043,Saddek,Peng,Customer Service,Senior Staff,2002-04-29,9999-01-01,40000
490337,Faiza,Clemencon,Production,Senior Engineer,2002-04-29,9999-01-01,40000
90261,Rimli,Merle,Development,Senior Engineer,2002-04-28,9999-01-01,40000
210671,Serap,Tsukuda,Development,Senior Staff,2002-04-28,9999-01-01,40000
448037,Niclas,Trachtenberg,Development,Senior Engineer,2002-04-28,9999-01-01,57671
460851,Uzi,Anily,Customer Service,Senior Staff,2002-04-28,9999-01-01,40000
75589,Sudharsan,Ghazalie,Finance,Senior Staff,2002-04-27,9999-01-01,41806
214078,Surveyors,Merli,Marketing,Senior Staff,2002-04-27,9999-01-01,76255
230188,Snehasis,Krychniak,Human Resources,Senior Staff,2002-04-27,9999-01-01,40000
447008,Zsolt,Cooman,Sales,Senior Staff,2002-04-27,9999-01-01,67211
44875,Goh,Reinhart,Customer Service,Senior Staff,2002-04-26,9999-01-01,73457
462140,Josyula,Chleq,Production,Senior Engineer,2002-04-26,9999-01-01,40000
485212,Magdalena,Besancenot,Production,Senior Engineer,2002-04-26,9999-01-01,40000
226987,Arif,Delgrossi,Quality Management,Engineer,2002-04-25,9999-01-01,55209
107101,Moni,Crabtree,Production,Senior Engineer,2002-04-24,9999-01-01,40232
97104,Chiranjit,Ashish,Production,Senior Engineer,2002-04-23,9999-01-01,60436
218927,Saddek,Jenevein,Marketing,Senior Staff,2002-04-23,9999-01-01,60013
108627,Kenroku,Harbusch,Marketing,Senior Staff,2002-04-22,9999-01-01,56920
