emp_no,first_name,last_name,to_date,dept_name
12128,Yannik,Barreiro,1998-11-25,Sales
12149,Suebskul,Grandbois,9999-01-01,Sales
12373,Mooi,Driscoll,9999-01-01,Sales
12399,Mihalis,Luga,9999-01-01,Sales
12411,Shao,Ibel,9999-01-01,Sales
12415,Uri,Sluis,1998-10-10,Sales
12454,Kerryn,Farris,9999-01-01,Sales
12464,Shai,Milicic,9999-01-01,Sales
12478,Yahiko,Hopewell,1997-09-05,Sales
12497,Stein,Penz,9999-01-01,Sales
12541,Shih,Nanard,9999-01-01,Sales
12651,Pragnesh,Bael,9999-01-01,Sales
12664,Zhonghua,Parveen,2001-03-12,Sales
12732,Mara,Takanami,9999-01-01,Sales
12759,LiMin,Kuszyk,1996-01-02,Sales
12790,Gunilla,Perl,9999-01-01,Sales
12798,Lillian,Beeson,9999-01-01,Sales
12803,Gad,Boissier,1999-08-30,Sales
12872,Marl,Schmittgen,9999-01-01,Sales
12890,Neven,Casley,9999-01-01,Sales
12893,Licheng,Crouzet,9999-01-01,Sales
12922,Jacqueline,Porenta,1993-09-16,Sales
12951,Mohammad,Keirsey,1988-06-26,Sales
12974,Gift,Frolund,1994-11-03,Sales
13075,Rosella,Morrin,1990-09-02,Sales
13124,Quingbo,Garnick,9999-01-01,Sales
13146,Haldon,Erie,9999-01-01,Sales
13147,Shichao,Ginesta,9999-01-01,Sales
13173,Arve,Horswill,9999-01-01,Sales
13179,Moty,Janocha,9999-01-01,Sales
13186,Kyoichi,Barbanera,9999-01-01,Sales
13210,Jianhua,Klassen,1997-08-10,Sales
13213,Hein,Billawala,9999-01-01,Sales
13238,Ebru,Foote,9999-01-01,Sales
13243,Fay,Huxford,1999-11-11,Sales
13305,Bikash,Herath,1995-01-19,Sales
13392,Fumitake,Beidas,9999-01-01,Sales
13405,Randy,Baba,9999-01-01,Sales
13524,Chaoyi,Porotnikoff,9999-01-01,Sales
13605,Dmitry,Encarnacion,9999-01-01,Sales
13680,Denny,Speer,9999-01-01,Sales
13684,Elvia,Christ,2002-03-30,Sales
13721,Sugwoo,Delgrossi,9999-01-01,Sales
13747,Masaru,Capobianchi,1987-12-10,Sales
13769,Yakichi,Trogemann,9999-01-01,Sales
13775,Arve,Maierhofer,9999-01-01,Sales
13786,Takushi,Berendt,9999-01-01,Sales
13801,Shih,Mayerwieser,1999-06-25,Sales
13916,Vidya,Wynblatt,2002-01-12,Sales
13930,Sukumar,Chartres,2000-04-20,Sales
13951,Mooi,Genther,9999-01-01,Sales
13986,Geraldo,Ramsey,1989-01-19,Sales
14197,Adin,Chachaty,2000-12-24,Sales
14275,Tristan,Aseltine,2000-11-17,Sales
14310,Marlo,Leuchs,9999-01-01,Sales
14354,Mong,Bojadziev,9999-01-01,Sales
14478,Munehiro,Boissier,9999-01-01,Sales
14513,Samphel,Barreiro,1991-02-04,Sales
14516,Kristian,Underwood,9999-01-01,Sales
14607,Suzette,Selvestrel,9999-01-01,Sales
14621,Souichi,Wixon,9999-01-01,Sales
14639,Arvind,Hempstead,9999-01-01,Sales
14648,IEEE,Lorys,9999-01-01,Sales
14865,Ute,Serra,1995-12-22,Sales
14871,Arnd,Kaiserswerth,1999-06-23,Sales
14888,Temple,Barriga,9999-01-01,Sales
14899,Alejandro,Casley,9999-01-01,Sales
14966,Zhanqiu,Underwood,1998-08-23,Sales
15030,Rasikan,Nourani,9999-01-01,Sales
15071,Ayonca,Couchot,9999-01-01,Sales
15105,Sudhanshu,Itzigehl,1991-03-31,Sales
15113,Zhiguo,Giaccio,1993-01-26,Sales
15134,Arun,Luiz,9999-01-01,Sales
15151,Urs,Pouyioutas,2000-06-02,Sales
15176,Charlene,Sankaranarayanan,9999-01-01,Sales
15271,Shiv,Bernardeschi,9999-01-01,Sales
15292,Miyeon,Lammel,9999-01-01,Sales
15330,Jaroslava,Chinal,9999-01-01,Sales
15369,Premal,Penttonen,9999-01-01,Sales
15372,Nahum,Broder,9999-01-01,Sales
15382,Alassane,Siegrist,9999-01-01,Sales
15410,Wilmer,Kushner,2002-04-15,Sales
15454,Hongzue,Cesareni,9999-01-01,Sales
15474,Gilbert,Plumb,9999-01-01,Sales
15511,George,Kowalchuk,9999-01-01,Sales
15539,Shigeichiro,Spieker,1996-07-17,Sales
15566,Baoqiu,Azuma,9999-01-01,Sales
15601,Carrsten,Anily,9999-01-01,Sales
15641,Jaana,Roisin,2001-04-19,Sales
15708,Reuven,Kushnir,9999-01-01,Sales
15715,Insup,Ibel,2002-01-15,Sales
15740,Stepehn,Pocchiola,9999-01-01,Sales
15799,Manton,Gelosh,9999-01-01,Sales
15819,Magdalena,Rajcani,1999-07-14,Sales
15912,Piyawadee,Cichocki,1998-05-18,Sales
15938,Garnik,Covnot,9999-01-01,Sales
16066,Marsha,Penn,9999-01-01,Sales
16105,Alper,Tetzlaff,1996-05-08,Sales
16233,Sushant,Baba,9999-01-01,Sales
16266,Mikhail,Sethi,9999-01-01,Sales
16331,Giap,Garnham,2000-12-27,Sales
16355,Nikolaos,Luca,9999-01-01,Sales
16364,Yifei,Gini,9999-01-01,Sales
16373,Narain,Aseltine,1999-05-19,Sales
16396,Guangming,Yoshimura,2000-04-15,Sales
16398,Limsoon,Krzyzanowski,9999-01-01,Sales
16399,Apostol,Collette,2000-08-24,Sales
16446,Jouko,Chinin,9999-01-01,Sales
16487,Arunas,Yemenis,9999-01-01,Sales
16490,Muzhong,Thiria,9999-01-01,Sales
16500,Elvis,Servieres,2000-09-10,Sales
16607,Vishwani,Honglei,9999-01-01,Sales
16672,Georgi,Peris,9999-01-01,Sales
16806,Sreekrishna,Dayana,1996-02-12,Sales
16808,Kiyokazu,Katiyar,9999-01-01,Sales
16858,Akeno,Gustavson,1995-08-09,Sales
16885,Ronghao,Stentiford,1997-08-01,Sales
16921,Evgueni,Yeung,9999-01-01,Sales
16993,Hongzue,Dahlbom,9999-01-01,Sales
16996,Shigenori,Millington,2000-10-29,Sales
17063,Anoosh,Thiran,9999-01-01,Sales
17089,Rafail,Erman,9999-01-01,Sales
17102,Radhika,Garnick,9999-01-01,Sales
17146,Aemilian,Barbanera,9999-01-01,Sales
17185,Danai,Wilfing,1996-11-24,Sales
17245,Neven,Milicia,9999-01-01,Sales
17275,Shmuel,Danlos,1993-03-25,Sales
17352,Muneo,Katiyar,9999-01-01,Sales
17436,Chirstian,Munawer,9999-01-01,Sales
17468,Abdelghani,Irland,9999-01-01,Sales
17573,Berthier,Deverell,9999-01-01,Sales
17629,Mostafa,Winter,9999-01-01,Sales
17647,Vasilis,Swab,9999-01-01,Sales
17681,Eran,Schauser,2000-02-29,Sales
17683,Bernt,Henders,2000-08-25,Sales
17695,Kazuhiro,Chvatal,1988-11-06,Sales
17791,Matt,Stifter,9999-01-01,Sales
17796,Alejandro,Impagliazzo,1997-06-26,Sales
17874,Rutger,Minakawa,9999-01-01,Sales
17986,Oguz,Angelopoulos,9999-01-01,Sales
18006,Vidya,Hanabata,1997-01-20,Sales
18016,Somnath,Kaminger,9999-01-01,Sales
18018,Sasan,Schrooten,9999-01-01,Sales
18024,Uzi,Casperson,1989-08-06,Sales
18065,Chriss,Wroclawski,9999-01-01,Sales
18086,Brewster,Szmurlo,2000-05-21,Sales
18108,Sanjai,Genin,9999-01-01,Sales
18274,Yefim,Karnin,9999-01-01,Sales
18297,Guther,Nastansky,9999-01-01,Sales
18369,Pintsang,Backhouse,1996-08-18,Sales
18401,Vidya,Itzfeldt,9999-01-01,Sales
18407,Marsja,Luit,1997-08-15,Sales
18435,Basim,Covnot,1999-10-31,Sales
18443,Florina,Swick,9999-01-01,Sales
18454,Eric,Anido,9999-01-01,Sales
18492,Turgut,Brickell,1996-10-06,Sales
18581,Mitsuyuki,Ranai,1993-02-02,Sales
18612,Nevin,Sevcikova,1992-06-05,Sales
18664,Itzchak,Akaboshi,9999-01-01,Sales
18679,Roded,Lambe,9999-01-01,Sales
18701,Mori,Ratnakar,9999-01-01,Sales
18706,Debaprosad,Schicker,9999-01-01,Sales
18725,Cullen,Marchegay,9999-01-01,Sales
18771,Domenick,Haraldson,9999-01-01,Sales
18789,Reinhold,Domenig,9999-01-01,Sales
18809,Laurentiu,Munoz,9999-01-01,Sales
18892,Kamakshi,Matzat,1996-02-25,Sales
18994,Leszek,Mitsuhashi,9999-01-01,Sales
19012,Gal,Panangaden,9999-01-01,Sales
19014,Jiafu,Danecki,9999-01-01,Sales
19031,Rosella,Pollock,9999-01-01,Sales
19048,Nikolaus,Radhakrishnan,9999-01-01,Sales
19109,Jenwei,Denis,9999-01-01,Sales
19113,Persi,Bahr,1995-06-15,Sales
19134,Seongbin,Bakhtari,9999-01-01,Sales
19147,Chaitali,Bennis,9999-01-01,Sales
19160,Tetsurou,Jervis,1994-04-28,Sales
19201,Arto,Sommen,9999-01-01,Sales
19205,Moto,Sinitsyn,9999-01-01,Sales
19318,Xianlong,Halevi,1991-02-18,Sales
19343,Heping,Hempstead,1986-11-18,Sales
19381,Xiahua,Holburn,9999-01-01,Sales
19419,Palash,Bernardeschi,9999-01-01,Sales
19580,Stein,Tagansky,9999-01-01,Sales
19624,Younwoo,Wolniewicz,9999-01-01,Sales
19629,Stepehn,Matzke,9999-01-01,Sales
19634,Phuoc,Etalle,9999-01-01,Sales
19663,Sverrir,Navazio,9999-01-01,Sales
19669,Shem,Honiden,9999-01-01,Sales
19675,Isamu,Herath,9999-01-01,Sales
19708,Ortrud,Biros,9999-01-01,Sales
19723,Xuejun,Magalhaes,9999-01-01,Sales
19724,Visit,Hasham,9999-01-01,Sales
19728,Candido,Ramsey,9999-01-01,Sales
19746,Shiv,Zeidenstein,1992-05-20,Sales
19777,Halsur,Ferretti,9999-01-01,Sales
19826,Fox,Christ,9999-01-01,Sales
19841,Adil,Straney,9999-01-01,Sales
19849,Weicheng,Serre,9999-01-01,Sales
19874,Xuejia,Kuzuoka,9999-01-01,Sales
19940,Reinhard,Einsfeld,9999-01-01,Sales
19955,IEEE,Conry,1990-03-26,Sales
20042,Margareta,Munck,9999-01-01,Sales
20130,Xiaoshan,Picco,1990-08-13,Sales
20148,Ibibia,Polupanov,9999-01-01,Sales
20170,Emdad,Himler,1997-05-04,Sales
20181,Thodoros,Wegerle,1999-12-24,Sales
20266,Ekawit,Kakkad,9999-01-01,Sales
20305,Gou,Birnbaum,1994-09-08,Sales
20325,Katsuyuki,England,9999-01-01,Sales
20338,Reinhard,Butner,2000-02-27,Sales
20435,Oguz,Homond,9999-01-01,Sales
20494,Lucien,Pagter,9999-01-01,Sales
20534,Rosita,Kalloufi,9999-01-01,Sales
20538,Gro,Hebert,2000-11-26,Sales
20545,Woody,Chaudhury,9999-01-01,Sales
20621,Arumugam,Navazio,9999-01-01,Sales
20708,Aemilian,Arlazarov,9999-01-01,Sales
20728,Billie,Sessa,9999-01-01,Sales
20765,Steve,Viele,9999-01-01,Sales
20813,Srinidhi,Sinicrope,9999-01-01,Sales
20836,Jingling,Alameldin,9999-01-01,Sales
20923,Menkae,Miara,9999-01-01,Sales
20964,Clyde,Erez,9999-01-01,Sales
20974,Hisao,Yavatkar,1994-11-23,Sales
20979,Pradeep,Kumaresan,9999-01-01,Sales
21007,Christfried,Junet,9999-01-01,Sales
21110,Shaowei,Solares,9999-01-01,Sales
21133,Carrsten,Brizzi,1997-08-26,Sales
21135,KayLiang,Alpay,1999-01-19,Sales
21138,Niteen,Haraldson,9999-01-01,Sales
21143,Mayumi,Hennings,9999-01-01,Sales
21299,Tamiya,Navazio,1998-11-21,Sales
21344,Mohammed,Vanwelkenhuysen,1999-09-22,Sales
21361,Shooichi,Lally,9999-01-01,Sales
21409,Hongzhu,Yoshimura,9999-01-01,Sales
21413,Laurentiu,Sherertz,9999-01-01,Sales
21421,Avishai,Yoshizawa,9999-01-01,Sales
21432,Kerhong,Weisert,9999-01-01,Sales
21509,Udo,Rubsam,1995-07-31,Sales
21537,Boutros,Mitchem,1996-10-05,Sales
21542,Miomir,Sherertz,9999-01-01,Sales
21566,Angel,Demos,9999-01-01,Sales
21588,Licheng,Masamoto,9999-01-01,Sales
21609,Sibyl,Pappas,1998-11-04,Sales
21612,Martial,Bardell,9999-01-01,Sales
21648,Mayuko,Fandrianto,9999-01-01,Sales
21683,Jiang,Velasco,1988-10-13,Sales
21693,Palash,Schurmann,1992-07-28,Sales
21697,Billur,Luke,9999-01-01,Sales
21705,Aleksandar,Luon,9999-01-01,Sales
21758,Susumu,Picht,2002-07-31,Sales
21820,Sanjay,Khasidashvili,9999-01-01,Sales
21897,Sampalli,Kavanagh,1997-02-07,Sales
21953,Bader,Michaels,1990-11-20,Sales
21976,Randy,Uhrig,1996-08-03,Sales
21980,Gen,Miyakawa,9999-01-01,Sales
21987,Dipankar,Fontet,9999-01-01,Sales
21994,Lech,Babb,9999-01-01,Sales
22023,Mart,Vidya,1998-10-12,Sales
22095,Breannda,Schlumberger,9999-01-01,Sales
22111,Rasiah,Felcyn,9999-01-01,Sales
22136,Naftali,Thiran,9999-01-01,Sales
22140,Susanne,Reghbati,9999-01-01,Sales
22150,Kristina,Zweizig,9999-01-01,Sales
22179,Rosine,Garnick,9999-01-01,Sales
22326,Mani,Skafidas,9999-01-01,Sales
22370,Aloys,Oxenboll,9999-01-01,Sales
22374,Soenke,Klassen,9999-01-01,Sales
22381,Uma,Openshaw,9999-01-01,Sales
22405,Gritta,Parveen,9999-01-01,Sales
22535,Alejandra,Chachaty,2000-01-14,Sales
22557,Abdulla,Luon,9999-01-01,Sales
22590,Suzette,Veevers,2001-10-21,Sales
22593,Danae,Jeansoulin,9999-01-01,Sales
22609,Zvonko,Baalen,9999-01-01,Sales
22688,Sham,Ebeling,1999-10-02,Sales
22691,Morris,Bottner,9999-01-01,Sales
22720,Olivera,Gornas,9999-01-01,Sales
22728,Makato,Codenie,9999-01-01,Sales
22758,Mabry,Rijckaert,9999-01-01,Sales
22783,Takahiro,Beerel,1997-12-17,Sales
22786,Moss,Usdin,9999-01-01,Sales
22860,Taizo,Parascandalo,1993-09-05,Sales
22863,Petter,Denna,9999-01-01,Sales
22873,Ebbe,Ashish,9999-01-01,Sales
22894,Muzhong,Casley,1989-02-07,Sales
22910,Shawna,Cummings,9999-01-01,Sales
22934,Parviz,Plumb,9999-01-01,Sales
23195,Mark,Ertl,9999-01-01,Sales
23211,Subir,Pehl,2002-07-17,Sales
23290,Parviz,Papsdorf,9999-01-01,Sales
23300,Froduald,Schauser,9999-01-01,Sales
23314,Krassimir,Demizu,9999-01-01,Sales
23362,Youjian,Yurek,9999-01-01,Sales
23370,Morris,Bodoff,9999-01-01,Sales
23384,Branimir,Reinhard,1993-11-30,Sales
23406,Masadi,Masada,9999-01-01,Sales
23454,Heejo,Felcyn,9999-01-01,Sales
23480,Dannz,Busillo,9999-01-01,Sales
23505,Yunming,Muchinsky,1994-10-19,Sales
23532,Duke,Bardell,9999-01-01,Sales
23592,Marek,Templeman,2000-08-08,Sales
23620,Clyde,Reeker,1993-07-13,Sales
23633,Jinpo,Nyrup,9999-01-01,Sales
23676,Sham,Openshaw,9999-01-01,Sales
23677,Rafael,Sevcikova,9999-01-01,Sales
23703,Prodip,Thimonier,9999-01-01,Sales
23761,Jouni,Menhardt,9999-01-01,Sales
23791,Boguslaw,Pavlopoulou,9999-01-01,Sales
23817,Duri,Coorg,9999-01-01,Sales
23834,Bedir,Harllee,1993-12-04,Sales
23860,Malu,Kumaresan,9999-01-01,Sales
23868,Trygve,Reistad,9999-01-01,Sales
23877,Tesuro,Motley,9999-01-01,Sales
23946,Carrsten,Streit,9999-01-01,Sales
23952,Valdiodio,Oehlmann,9999-01-01,Sales
23995,Fatemeh,Zhang,1988-11-23,Sales
23998,Amabile,Neimat,2002-02-21,Sales
24015,Baruch,Wixon,2001-09-06,Sales
24056,Gladys,Shrader,9999-01-01,Sales
24078,Sachem,Einsfeld,1990-11-09,Sales
24118,Elliott,Monarch,9999-01-01,Sales
24153,Lidong,Anger,9999-01-01,Sales
24166,Niranjan,Chinal,9999-01-01,Sales
24177,Van,Aumann,1990-01-29,Sales
24225,Shugo,Eiter,9999-01-01,Sales
24334,Zhilian,Brookman,1991-05-01,Sales
24388,Zhilian,Milicic,9999-01-01,Sales
24397,Shaibal,Shimshoni,9999-01-01,Sales
24429,Murthy,Anger,9999-01-01,Sales
24460,Yinghua,Lanphier,9999-01-01,Sales
24489,Yuuichi,McAffer,2001-08-06,Sales
24522,Shunichi,Hopewell,9999-01-01,Sales
24588,Huiqun,Kranzdorf,9999-01-01,Sales
24596,Ayonca,Stranks,9999-01-01,Sales
24613,Hitofumi,Stifter,9999-01-01,Sales
24725,Yechezkel,Openshaw,9999-01-01,Sales
24746,Tianruo,Tsukuda,1996-03-12,Sales
24790,Kiyokazu,Chachaty,9999-01-01,Sales
24793,Kristen,Brizzi,9999-01-01,Sales
24853,Zhongwei,McClurg,1994-07-03,Sales
24862,Susumu,Muntz,9999-01-01,Sales
24872,Oguz,Decaestecker,9999-01-01,Sales
24888,Murthy,Felder,9999-01-01,Sales
24909,Constantine,Garrabrants,9999-01-01,Sales
24932,Charmane,Erbe,9999-01-01,Sales
24976,Khun,Vakili,2001-05-14,Sales
24985,Martins,Bottner,9999-01-01,Sales
25003,Dietrich,Benzmuller,9999-01-01,Sales
25022,Zengping,Hiroyama,9999-01-01,Sales
25085,Tran,Usery,9999-01-01,Sales
25112,Muneo,Haraldson,9999-01-01,Sales
25144,Shaibal,Stellhorn,1992-05-23,Sales
25370,Jagoda,Puoti,9999-01-01,Sales
25371,Goh,Ishibashi,9999-01-01,Sales
25435,DeForest,Milicia,1995-04-16,Sales
25537,Akeel,Ibel,9999-01-01,Sales
25562,Bernardo,Menhardt,9999-01-01,Sales
25599,Masoud,Pillow,9999-01-01,Sales
25600,Jinpo,McClurg,9999-01-01,Sales
25603,Kwangsub,Desikan,9999-01-01,Sales
25643,Adin,Peak,2000-09-12,Sales
25644,Kwangho,Straney,9999-01-01,Sales
25717,Froduald,Speek,9999-01-01,Sales
25772,Greger,Marrevee,9999-01-01,Sales
25830,Janalee,Janocha,1999-12-17,Sales
25841,Shahab,Ernst,9999-01-01,Sales
25908,Sachio,Nations,1991-06-30,Sales
25935,Berhard,Parascandalo,9999-01-01,Sales
25963,Jiakeng,Fandrianto,9999-01-01,Sales
25992,Divier,Bugrara,9999-01-01,Sales
26006,Subhash,Riexinger,1997-07-18,Sales
26053,Heekeun,Szmurlo,9999-01-01,Sales
26086,Turgut,Beutelspacher,9999-01-01,Sales
26113,Larisa,Brandsma,9999-01-01,Sales
26172,Sedat,Bahr,9999-01-01,Sales
26252,Haldun,Flowers,9999-01-01,Sales
26317,Valdiodio,Weedman,9999-01-01,Sales
26344,Duke,Sabnani,9999-01-01,Sales
26391,Baoqiu,Kermarrec,9999-01-01,Sales
26488,Zdislav,Perly,1993-09-20,Sales
26623,Berni,Barbanera,9999-01-01,Sales
26639,Guadalupe,Weiland,9999-01-01,Sales
26682,Yucai,Baezner,9999-01-01,Sales
26750,Baziley,Denis,9999-01-01,Sales
26778,Zeljko,Scharstein,1991-06-10,Sales
26808,Jeanne,DuCasse,9999-01-01,Sales
26811,Prodip,Farrow,9999-01-01,Sales
26833,Hirochika,Gustavson,9999-01-01,Sales
26902,Reinhold,Welham,9999-01-01,Sales
26905,Fatemeh,Markovitch,9999-01-01,Sales
27056,Leen,Hiyoshi,9999-01-01,Sales
27221,Syozo,Rosar,2000-06-22,Sales
27223,Noritoshi,Delgrossi,9999-01-01,Sales
27272,Kwan,Genin,9999-01-01,Sales
27282,Xiaobin,Bahi,1996-08-15,Sales
27365,Mang,Morris,9999-01-01,Sales
27368,Dipayan,Keustermans,9999-01-01,Sales
27369,Cedric,Chinen,9999-01-01,Sales
27548,Slavian,Riexinger,1998-04-04,Sales
27557,Teunis,Oxman,9999-01-01,Sales
27652,Jacqueline,Matteis,9999-01-01,Sales
27739,Youssef,Piancastelli,9999-01-01,Sales
27756,Stevo,Suwa,9999-01-01,Sales
27762,Boalin,Griswold,1991-08-14,Sales
27772,Shahaf,Salvesen,9999-01-01,Sales
27793,Paraskevi,Merlo,1987-09-12,Sales
27797,Kazuhisa,Botman,9999-01-01,Sales
27800,Baruch,Sommer,2001-10-02,Sales
27801,Naraig,Danecki,9999-01-01,Sales
27814,Shigenori,Angelov,1999-07-21,Sales
28074,Shmuel,Syrotiuk,9999-01-01,Sales
28128,Huican,Slaats,1996-07-29,Sales
28161,Kwan,Nicolson,9999-01-01,Sales
28209,Gadiel,Millington,9999-01-01,Sales
28240,Reuven,Lorcy,9999-01-01,Sales
28242,Thodoros,Vasanthakumar,1992-05-11,Sales
28281,Adhemar,Oxenboll,2001-10-16,Sales
28282,Arto,Spelt,1998-07-18,Sales
28298,Holgard,Ritcey,1998-01-03,Sales
28322,Premal,Millington,9999-01-01,Sales
28344,Fan,Barriga,9999-01-01,Sales
28350,Theron,Heusch,9999-01-01,Sales
28358,Constantino,Salinas,9999-01-01,Sales
28359,Kshitij,Stellhorn,9999-01-01,Sales
28373,Steen,Bhattacharjee,9999-01-01,Sales
28383,Gladys,Chimia,9999-01-01,Sales
28385,Filipp,Conia,9999-01-01,Sales
28487,Ziva,Alblas,2001-04-14,Sales
28555,Kankanahalli,Wendorf,9999-01-01,Sales
28596,Perla,Porotnikoff,9999-01-01,Sales
28599,Youpyo,Szilard,1997-01-30,Sales
28604,Rafols,Kirkerud,1986-12-04,Sales
28619,Pragnesh,Majewski,9999-01-01,Sales
28653,Pranay,Flanders,9999-01-01,Sales
28689,Jessie,Lores,9999-01-01,Sales
28703,Tremaine,Remmele,9999-01-01,Sales
28716,Kristian,Hertweck,9999-01-01,Sales
28734,Arvind,Heydon,9999-01-01,Sales
28739,Elliott,Wixon,9999-01-01,Sales
28750,Guangming,Speckmann,9999-01-01,Sales
28753,Leaf,Lichtner,9999-01-01,Sales
28757,Branimir,Poupard,9999-01-01,Sales
28779,Fayez,Bottner,9999-01-01,Sales
28958,Angel,Wossner,9999-01-01,Sales
29080,Panayotis,Shumilov,9999-01-01,Sales
29120,Parto,Bergere,9999-01-01,Sales
29133,Rafael,Peck,9999-01-01,Sales
29199,Chaoyi,Mondadori,9999-01-01,Sales
29250,Radoslaw,Besancenot,9999-01-01,Sales
29261,Paraskevi,Kopetz,1993-12-14,Sales
29366,Domenico,Ohori,9999-01-01,Sales
29485,Ortrun,Shobatake,9999-01-01,Sales
29527,Adamantios,Oaver,9999-01-01,Sales
29539,Chaosheng,Heering,1999-09-08,Sales
29573,Kwangsub,Linnainmaa,1998-03-11,Sales
29583,Subhada,Waymire,9999-01-01,Sales
29596,Geoff,Lueh,9999-01-01,Sales
29603,Kristina,Khamsi,9999-01-01,Sales
29651,Divier,Knightly,9999-01-01,Sales
29690,Eran,Fioravanti,1993-03-17,Sales
29719,Sumant,Takkinen,9999-01-01,Sales
29729,Alassane,Bernatsky,9999-01-01,Sales
29822,Prodip,Sifakis,1995-09-06,Sales
29915,JoAnne,Maquelin,1994-06-18,Sales
29946,Shooichi,McClure,9999-01-01,Sales
30143,Indrajit,Huttel,9999-01-01,Sales
30179,Shirish,Krzyzanowski,9999-01-01,Sales
30209,Yannis,Aloisi,1995-02-16,Sales
30302,Amstein,Sankaranarayanan,9999-01-01,Sales
30330,Caolyn,Nitsch,9999-01-01,Sales
30351,Djenana,Blokdijk,9999-01-01,Sales
30410,Feiyu,Menyhert,9999-01-01,Sales
30425,Rimli,Akazan,9999-01-01,Sales
30466,Sumant,Giaccio,9999-01-01,Sales
30497,Youjian,Pettis,9999-01-01,Sales
30513,Eric,Limongiello,1997-09-28,Sales
30525,Snehasis,Matzen,9999-01-01,Sales
30546,Janalee,Oehlmann,9999-01-01,Sales
30601,Gilbert,Cyne,1996-12-23,Sales
30655,Xuedong,Anandan,9999-01-01,Sales
30663,Gurbir,Sigstam,9999-01-01,Sales
30670,Lillian,Zizka,9999-01-01,Sales
30673,Berry,Ozeki,9999-01-01,Sales
30730,Willard,Pelc,9999-01-01,Sales
30748,Katsuyuki,Uchoa,2001-04-27,Sales
30769,Berry,Frolund,9999-01-01,Sales
30831,Arno,Kermarrec,9999-01-01,Sales
30834,Van,Erdi,9999-01-01,Sales
30899,Dannz,Keirsey,9999-01-01,Sales
30923,Chandrasekaran,Ellozy,9999-01-01,Sales
31024,Xiadong,Ciolek,9999-01-01,Sales
31127,Mizuhito,Puppo,9999-01-01,Sales
31131,Conal,Zolotykh,1993-08-26,Sales
31132,Barna,Ghalwash,9999-01-01,Sales
31220,Radoslaw,Lund,9999-01-01,Sales
31224,Uta,Apsitis,9999-01-01,Sales
31343,Heon,Denos,9999-01-01,Sales
31344,Saddek,Gerteisen,2001-12-30,Sales
31363,Hidde,Merli,1997-01-04,Sales
31372,Padma,Zaccaria,1999-01-05,Sales
31385,Barry,Daescu,9999-01-01,Sales
31401,Hein,Sigstam,9999-01-01,Sales
31407,Chaosheng,Vernadat,1999-10-29,Sales
31425,Mohammad,Anger,1988-06-09,Sales
31429,Matk,Bernini,1999-09-14,Sales
31444,Aris,Hinsberger,2000-11-20,Sales
31508,Sanjit,Gadepally,2001-04-30,Sales
31533,Trygve,Albarhamtoshy,9999-01-01,Sales
31557,Denny,Kalafatis,9999-01-01,Sales
31558,Shuzo,Hmelo,9999-01-01,Sales
31595,Stevo,Barbanera,1996-07-16,Sales
31650,Neven,Savasere,1999-06-07,Sales
31700,Weiyi,Ranft,9999-01-01,Sales
31702,Florian,Isard,9999-01-01,Sales
